能力評価,性格診断結果,思索型:内閉性,自制型:弱気さ,従順性,ﾓﾗﾄﾘｱﾑ傾向,自己信頼性,努力型:持続性,積極性,協調性,共感性,努力型:規則性
B,A,34.0,37.0,,42.0,34.0,48.0,46.0,41.0,29.0,49.0
A,C,43.0,89.0,59.0,,11.0,,71.0,,33.0,58.0
B,B,27.0,56.0,,47.0,42.0,,,14.0,32.0,59.0
,D,63.0,34.0,34.0,54.0,68.0,38.0,,62.0,46.0,40.0
,－,,61.0,40.0,,,38.0,36.0,30.0,19.0,51.0
A,S,59.0,,53.0,51.0,60.0,60.0,65.0,54.0,55.0,28.0
B,－,,43.0,53.0,47.0,31.0,41.0,68.0,68.0,22.0,60.0
B,A,30.0,64.0,57.0,,,31.0,52.0,,25.0,56.0
B,C,29.0,,54.0,37.0,41.0,30.0,45.0,73.0,38.0,48.0
B,S,45.0,42.0,26.0,34.0,,,,,,36.0
B,S,56.0,72.0,43.0,46.0,40.0,65.0,39.0,56.0,19.0,63.0
B,－,,35.0,63.0,32.0,28.0,61.0,64.0,,,
,D,51.0,91.0,57.0,44.0,,15.0,36.0,68.0,51.0,73.0
B,S,32.0,47.0,40.0,,48.0,17.0,46.0,60.0,28.0,48.0
B,－,,31.0,38.0,,45.0,49.0,72.0,,32.0,36.0
A,C,45.0,28.0,40.0,39.0,27.0,,63.0,60.0,43.0,50.0
B,S,83.0,60.0,33.0,,55.0,40.0,49.0,39.0,32.0,37.0
B,S,39.0,52.0,58.0,,42.0,41.0,,,39.0,56.0
A,D,43.0,27.0,22.0,48.0,,73.0,69.0,60.0,31.0,
A,D,,50.0,59.0,51.0,28.0,36.0,67.0,19.0,22.0,
B,－,34.0,35.0,37.0,41.0,26.0,43.0,74.0,61.0,10.0,51.0
B,B,51.0,63.0,,42.0,39.0,41.0,59.0,16.0,10.0,50.0
A,－,55.0,45.0,42.0,44.0,33.0,,48.0,41.0,40.0,39.0
A,B,49.0,,60.0,,30.0,45.0,70.0,,,58.0
C,A,64.0,64.0,55.0,29.0,,60.0,40.0,15.0,,45.0
,B,,,,39.0,25.0,,64.0,17.0,,43.0
,S,60.0,38.0,22.0,52.0,29.0,24.0,53.0,15.0,54.0,53.0
B,D,,47.0,26.0,50.0,59.0,56.0,42.0,43.0,13.0,
B,A,,83.0,,,45.0,,56.0,74.0,36.0,58.0
,S,,41.0,,49.0,24.0,53.0,62.0,33.0,,55.0
A,B,54.0,58.0,39.0,44.0,21.0,32.0,31.0,31.0,27.0,39.0
,S,28.0,76.0,40.0,44.0,42.0,30.0,47.0,37.0,56.0,44.0
,C,27.0,,44.0,,31.0,46.0,54.0,65.0,18.0,60.0
C,S,37.0,46.0,64.0,39.0,39.0,21.0,59.0,67.0,59.0,48.0
,－,49.0,65.0,37.0,51.0,34.0,54.0,66.0,24.0,33.0,
B,S,,66.0,45.0,56.0,,57.0,61.0,7.0,23.0,
,－,59.0,49.0,,51.0,31.0,37.0,,,22.0,44.0
B,A,,44.0,55.0,50.0,,37.0,66.0,58.0,27.0,47.0
,A,64.0,,47.0,42.0,33.0,48.0,,,51.0,61.0
B,－,53.0,47.0,45.0,48.0,30.0,51.0,62.0,30.0,28.0,
B,D,,44.0,,,27.0,55.0,,47.0,27.0,46.0
A,D,42.0,48.0,,39.0,16.0,59.0,74.0,54.0,,47.0
B,B,27.0,68.0,57.0,42.0,46.0,47.0,74.0,18.0,42.0,55.0
C,C,,68.0,57.0,52.0,47.0,26.0,59.0,11.0,38.0,39.0
,S,,44.0,48.0,39.0,27.0,,64.0,,30.0,75.0
,B,36.0,46.0,,,34.0,,58.0,46.0,27.0,
,A,39.0,50.0,50.0,,40.0,18.0,54.0,25.0,,61.0
C,－,27.0,67.0,56.0,,53.0,45.0,49.0,36.0,10.0,46.0
,B,35.0,50.0,23.0,36.0,20.0,60.0,57.0,,,52.0
B,B,27.0,48.0,34.0,61.0,,,22.0,43.0,,48.0
A,D,47.0,53.0,46.0,,46.0,18.0,33.0,13.0,31.0,54.0
,S,62.0,37.0,,50.0,35.0,43.0,34.0,16.0,25.0,44.0
B,－,57.0,47.0,52.0,28.0,43.0,,32.0,26.0,,61.0
B,D,49.0,46.0,29.0,33.0,,37.0,21.0,55.0,,57.0
B,A,67.0,25.0,22.0,31.0,39.0,34.0,57.0,55.0,,68.0
B,D,49.0,41.0,43.0,47.0,38.0,49.0,44.0,35.0,45.0,62.0
C,A,38.0,49.0,44.0,,43.0,50.0,,,12.0,45.0
,S,27.0,90.0,,50.0,,48.0,47.0,57.0,20.0,58.0
B,C,49.0,48.0,39.0,42.0,,,74.0,54.0,25.0,
B,C,47.0,69.0,44.0,46.0,56.0,36.0,53.0,46.0,13.0,47.0
C,C,28.0,28.0,46.0,25.0,,22.0,23.0,70.0,10.0,
B,－,,52.0,,51.0,19.0,27.0,31.0,46.0,,70.0
A,S,54.0,41.0,36.0,32.0,43.0,,40.0,55.0,41.0,59.0
A,－,62.0,63.0,44.0,51.0,58.0,,52.0,55.0,,56.0
,S,67.0,45.0,,35.0,30.0,40.0,,56.0,25.0,75.0
B,A,40.0,57.0,31.0,,43.0,50.0,50.0,,,31.0
,S,69.0,,44.0,28.0,,,,59.0,27.0,33.0
A,A,,73.0,54.0,31.0,39.0,57.0,46.0,57.0,27.0,65.0
B,D,27.0,38.0,59.0,27.0,46.0,44.0,,52.0,17.0,31.0
B,S,37.0,82.0,,28.0,,,55.0,57.0,22.0,
B,D,71.0,39.0,32.0,,30.0,41.0,52.0,,25.0,79.0
,B,57.0,62.0,50.0,45.0,,76.0,51.0,61.0,15.0,43.0
B,－,39.0,51.0,59.0,66.0,,38.0,71.0,70.0,41.0,
A,B,59.0,45.0,45.0,31.0,,,64.0,36.0,,53.0
B,－,45.0,44.0,38.0,57.0,34.0,,46.0,16.0,,51.0
B,D,40.0,35.0,23.0,41.0,25.0,63.0,54.0,,,60.0
B,B,54.0,43.0,65.0,42.0,44.0,53.0,,70.0,29.0,55.0
B,S,66.0,44.0,51.0,26.0,,67.0,50.0,,30.0,67.0
,C,49.0,48.0,49.0,44.0,34.0,54.0,56.0,,43.0,44.0
,C,41.0,,53.0,81.0,34.0,61.0,,32.0,40.0,57.0
A,A,47.0,60.0,32.0,30.0,49.0,47.0,45.0,7.0,16.0,27.0
B,－,63.0,60.0,56.0,44.0,56.0,,61.0,44.0,,40.0
A,C,28.0,25.0,50.0,46.0,55.0,63.0,,51.0,15.0,48.0
B,－,34.0,51.0,47.0,64.0,54.0,62.0,,,40.0,
C,－,54.0,56.0,33.0,25.0,54.0,66.0,44.0,19.0,31.0,62.0
B,C,68.0,47.0,28.0,60.0,43.0,55.0,63.0,56.0,,63.0
,A,56.0,65.0,53.0,28.0,37.0,47.0,42.0,29.0,27.0,49.0
A,S,52.0,,28.0,35.0,49.0,23.0,28.0,26.0,,34.0
B,C,37.0,38.0,,41.0,,,44.0,,48.0,63.0
,B,41.0,58.0,,29.0,,60.0,58.0,,28.0,52.0
B,B,47.0,,44.0,52.0,31.0,41.0,65.0,47.0,22.0,60.0
C,S,36.0,56.0,,39.0,62.0,46.0,49.0,67.0,25.0,50.0
,C,,30.0,36.0,44.0,,55.0,37.0,,39.0,
B,－,63.0,82.0,,36.0,,,53.0,28.0,40.0,54.0
B,－,69.0,78.0,45.0,,36.0,39.0,37.0,41.0,32.0,47.0
B,－,42.0,,,49.0,32.0,53.0,17.0,,,53.0
B,D,37.0,55.0,39.0,45.0,52.0,53.0,,67.0,53.0,66.0
B,－,27.0,77.0,58.0,36.0,54.0,37.0,18.0,,46.0,52.0
C,A,,43.0,24.0,41.0,31.0,41.0,25.0,21.0,51.0,62.0
B,D,47.0,96.0,44.0,45.0,31.0,45.0,,48.0,36.0,62.0
B,C,57.0,57.0,44.0,29.0,39.0,51.0,55.0,,49.0,65.0
A,B,,40.0,49.0,,,37.0,71.0,,,
B,D,80.0,67.0,,31.0,35.0,22.0,,41.0,20.0,62.0
B,C,47.0,46.0,22.0,26.0,32.0,25.0,24.0,,,62.0
A,B,35.0,52.0,45.0,37.0,50.0,,51.0,49.0,29.0,59.0
B,－,67.0,55.0,58.0,28.0,32.0,59.0,74.0,,,
B,D,60.0,81.0,,50.0,50.0,,30.0,65.0,35.0,
A,B,63.0,59.0,27.0,43.0,,54.0,,19.0,,41.0
B,－,53.0,64.0,22.0,29.0,,14.0,42.0,55.0,21.0,59.0
C,B,51.0,,,57.0,34.0,24.0,,17.0,46.0,
B,D,40.0,49.0,24.0,56.0,52.0,36.0,62.0,14.0,26.0,59.0
A,A,,65.0,32.0,30.0,52.0,44.0,,66.0,31.0,45.0
B,S,56.0,,39.0,48.0,28.0,19.0,63.0,17.0,23.0,49.0
A,S,,,43.0,44.0,40.0,36.0,64.0,60.0,,79.0
A,D,66.0,75.0,22.0,46.0,31.0,33.0,68.0,,,
C,D,79.0,29.0,51.0,29.0,45.0,40.0,34.0,34.0,28.0,40.0
B,D,63.0,59.0,49.0,32.0,66.0,22.0,37.0,33.0,31.0,45.0
,S,,61.0,,36.0,34.0,22.0,37.0,57.0,25.0,51.0
B,A,78.0,,,60.0,37.0,21.0,,21.0,,56.0
B,－,51.0,28.0,30.0,44.0,28.0,,45.0,47.0,28.0,60.0
A,－,27.0,86.0,27.0,48.0,45.0,20.0,,62.0,43.0,
B,D,62.0,56.0,50.0,58.0,32.0,22.0,,40.0,46.0,55.0
,B,63.0,,32.0,46.0,55.0,24.0,,18.0,32.0,
A,C,44.0,43.0,56.0,38.0,17.0,,38.0,20.0,39.0,19.0
A,－,52.0,39.0,41.0,58.0,36.0,59.0,52.0,30.0,,54.0
C,D,,53.0,36.0,29.0,51.0,52.0,59.0,64.0,,68.0
B,D,47.0,82.0,26.0,24.0,62.0,65.0,,48.0,23.0,
B,S,37.0,43.0,31.0,44.0,43.0,69.0,45.0,29.0,,
B,－,,65.0,45.0,83.0,56.0,37.0,,25.0,47.0,
A,S,40.0,,22.0,55.0,41.0,32.0,42.0,,42.0,64.0
,A,53.0,,,27.0,,20.0,,28.0,33.0,
A,－,32.0,80.0,28.0,48.0,44.0,57.0,54.0,43.0,,45.0
B,B,,37.0,46.0,,31.0,38.0,56.0,17.0,17.0,68.0
B,B,27.0,,,44.0,29.0,25.0,66.0,,36.0,47.0
B,B,42.0,46.0,45.0,45.0,38.0,45.0,58.0,21.0,24.0,48.0
B,D,27.0,53.0,43.0,70.0,41.0,24.0,42.0,40.0,44.0,46.0
B,－,72.0,,45.0,,,62.0,57.0,46.0,17.0,57.0
B,A,65.0,,45.0,39.0,33.0,21.0,41.0,29.0,37.0,
A,A,54.0,,52.0,39.0,50.0,24.0,67.0,22.0,,51.0
B,S,40.0,,59.0,32.0,22.0,26.0,48.0,42.0,22.0,
B,－,55.0,42.0,51.0,40.0,32.0,36.0,,57.0,29.0,
A,A,53.0,59.0,,42.0,39.0,,74.0,69.0,24.0,42.0
,A,61.0,61.0,51.0,46.0,,57.0,70.0,16.0,,
B,B,57.0,58.0,44.0,57.0,45.0,49.0,52.0,46.0,60.0,
A,A,68.0,,54.0,55.0,33.0,,72.0,36.0,39.0,47.0
B,－,60.0,,53.0,,26.0,42.0,45.0,26.0,23.0,53.0
B,－,49.0,40.0,44.0,39.0,44.0,37.0,64.0,56.0,14.0,43.0
,D,27.0,36.0,36.0,54.0,44.0,49.0,55.0,42.0,12.0,55.0
C,－,,57.0,33.0,,46.0,42.0,55.0,58.0,23.0,47.0
B,S,60.0,68.0,,,35.0,15.0,69.0,49.0,20.0,53.0
A,D,34.0,33.0,56.0,,,21.0,47.0,50.0,38.0,45.0
B,A,,,30.0,51.0,,42.0,28.0,55.0,,
B,B,42.0,,61.0,51.0,39.0,42.0,74.0,29.0,10.0,45.0
,－,34.0,54.0,81.0,44.0,28.0,,74.0,59.0,49.0,29.0
,A,47.0,87.0,22.0,,37.0,49.0,74.0,25.0,53.0,56.0
A,－,45.0,68.0,,28.0,27.0,47.0,54.0,,,59.0
B,B,,43.0,39.0,57.0,33.0,24.0,,42.0,,34.0
C,B,53.0,35.0,53.0,51.0,,,40.0,40.0,46.0,55.0
,A,,,,,67.0,33.0,,53.0,26.0,79.0
A,D,37.0,54.0,47.0,44.0,,52.0,38.0,23.0,,48.0
B,B,59.0,79.0,57.0,56.0,48.0,,65.0,,23.0,59.0
A,A,,,62.0,,,43.0,54.0,71.0,48.0,47.0
B,S,61.0,43.0,53.0,33.0,,25.0,,9.0,26.0,49.0
B,A,,94.0,57.0,28.0,,52.0,29.0,48.0,34.0,52.0
A,C,28.0,94.0,42.0,43.0,33.0,30.0,,14.0,34.0,41.0
B,B,,29.0,41.0,32.0,28.0,45.0,65.0,51.0,25.0,58.0
B,B,52.0,76.0,32.0,48.0,31.0,17.0,73.0,70.0,,63.0
B,S,48.0,41.0,40.0,51.0,,25.0,52.0,64.0,12.0,
B,S,39.0,47.0,33.0,,49.0,52.0,26.0,,46.0,77.0
B,B,65.0,64.0,44.0,41.0,33.0,15.0,34.0,,46.0,51.0
C,A,63.0,78.0,,56.0,28.0,,22.0,,44.0,55.0
B,C,55.0,76.0,55.0,,43.0,58.0,19.0,63.0,15.0,54.0
,C,27.0,42.0,,35.0,51.0,,48.0,24.0,10.0,38.0
B,C,46.0,53.0,70.0,42.0,35.0,49.0,40.0,73.0,55.0,49.0
B,－,50.0,53.0,57.0,30.0,,51.0,,8.0,49.0,43.0
B,B,62.0,60.0,,,,,35.0,45.0,45.0,
A,－,,53.0,,48.0,54.0,29.0,,48.0,,19.0
A,C,64.0,56.0,45.0,,40.0,51.0,53.0,64.0,36.0,47.0
A,B,27.0,,46.0,34.0,,,67.0,64.0,27.0,50.0
B,B,61.0,91.0,51.0,50.0,38.0,,29.0,57.0,14.0,53.0
B,－,75.0,29.0,,44.0,30.0,49.0,,16.0,30.0,56.0
B,S,58.0,68.0,,45.0,31.0,50.0,44.0,30.0,21.0,60.0
A,S,36.0,27.0,31.0,42.0,56.0,54.0,25.0,,,46.0
A,－,,,41.0,44.0,19.0,46.0,,50.0,31.0,60.0
,－,,,,29.0,20.0,,69.0,54.0,12.0,72.0
B,D,,42.0,,,32.0,15.0,60.0,51.0,,46.0
A,A,61.0,76.0,45.0,49.0,40.0,20.0,39.0,24.0,39.0,46.0
B,S,59.0,64.0,,40.0,,37.0,23.0,12.0,14.0,27.0
,D,34.0,39.0,64.0,51.0,57.0,65.0,35.0,58.0,,
,－,,78.0,59.0,,,21.0,22.0,52.0,20.0,41.0
B,B,55.0,,61.0,49.0,,26.0,56.0,41.0,39.0,47.0
A,S,60.0,53.0,49.0,41.0,29.0,48.0,37.0,45.0,28.0,57.0
B,B,,48.0,47.0,37.0,25.0,28.0,60.0,29.0,43.0,66.0
B,A,,66.0,45.0,37.0,26.0,38.0,13.0,39.0,13.0,53.0
B,－,64.0,29.0,47.0,,73.0,46.0,44.0,24.0,30.0,59.0
B,A,27.0,,53.0,37.0,37.0,55.0,37.0,,18.0,79.0
C,－,47.0,63.0,32.0,42.0,34.0,,19.0,30.0,18.0,58.0
,S,,81.0,47.0,,,23.0,74.0,51.0,21.0,43.0
,－,54.0,76.0,58.0,43.0,,29.0,37.0,,23.0,
,－,62.0,58.0,52.0,49.0,35.0,28.0,74.0,7.0,,52.0
,S,,38.0,,38.0,,67.0,,44.0,45.0,51.0
B,－,27.0,,35.0,30.0,,40.0,74.0,,11.0,58.0
A,－,76.0,48.0,22.0,45.0,28.0,19.0,51.0,25.0,57.0,44.0
B,－,31.0,69.0,57.0,48.0,32.0,,22.0,16.0,27.0,61.0
A,A,42.0,34.0,44.0,34.0,24.0,22.0,38.0,44.0,26.0,59.0
,B,,38.0,60.0,,37.0,33.0,43.0,60.0,,42.0
B,D,41.0,59.0,31.0,,43.0,25.0,35.0,74.0,16.0,59.0
B,A,56.0,49.0,22.0,34.0,49.0,,,41.0,25.0,56.0
,A,30.0,88.0,53.0,,46.0,41.0,72.0,44.0,45.0,60.0
B,S,51.0,62.0,50.0,35.0,43.0,35.0,68.0,,28.0,44.0
B,－,62.0,31.0,44.0,32.0,43.0,65.0,32.0,30.0,35.0,60.0
C,D,50.0,44.0,52.0,45.0,48.0,40.0,60.0,68.0,28.0,34.0
B,D,49.0,,45.0,55.0,39.0,70.0,61.0,63.0,34.0,58.0
,B,41.0,53.0,22.0,43.0,,31.0,33.0,64.0,29.0,55.0
B,－,55.0,,48.0,40.0,44.0,35.0,67.0,38.0,53.0,46.0
B,－,58.0,96.0,59.0,,,37.0,74.0,,31.0,47.0
B,B,,65.0,,,33.0,66.0,65.0,42.0,23.0,
A,D,27.0,58.0,22.0,55.0,,37.0,52.0,19.0,33.0,40.0
B,－,86.0,36.0,34.0,64.0,35.0,27.0,58.0,61.0,59.0,
A,A,27.0,41.0,,46.0,57.0,,33.0,11.0,23.0,
A,A,27.0,,44.0,34.0,76.0,39.0,65.0,74.0,,61.0
C,D,,28.0,75.0,53.0,56.0,54.0,66.0,59.0,21.0,
B,B,46.0,54.0,43.0,56.0,35.0,,67.0,56.0,46.0,72.0
,－,45.0,,62.0,,44.0,45.0,62.0,67.0,26.0,76.0
A,C,68.0,65.0,26.0,,52.0,46.0,,,51.0,40.0
B,S,70.0,53.0,46.0,42.0,38.0,38.0,74.0,39.0,41.0,42.0
B,D,55.0,,,50.0,26.0,41.0,,74.0,50.0,66.0
B,C,50.0,56.0,51.0,,50.0,,58.0,36.0,31.0,78.0
A,S,64.0,,38.0,47.0,54.0,14.0,71.0,20.0,41.0,47.0
A,C,82.0,53.0,48.0,29.0,33.0,29.0,49.0,37.0,23.0,
B,A,75.0,52.0,44.0,,33.0,44.0,63.0,34.0,25.0,43.0
B,－,59.0,31.0,22.0,35.0,,30.0,47.0,47.0,39.0,59.0
A,C,,39.0,39.0,37.0,35.0,46.0,74.0,63.0,27.0,62.0
,B,,47.0,55.0,45.0,51.0,37.0,,74.0,33.0,62.0
B,A,43.0,,22.0,45.0,51.0,60.0,52.0,,21.0,79.0
C,B,62.0,32.0,46.0,69.0,16.0,23.0,26.0,22.0,36.0,50.0
B,－,64.0,53.0,55.0,44.0,35.0,54.0,58.0,71.0,51.0,40.0
B,A,39.0,44.0,41.0,,33.0,27.0,62.0,61.0,59.0,52.0
,D,56.0,53.0,56.0,49.0,71.0,26.0,74.0,27.0,41.0,58.0
B,B,30.0,88.0,46.0,38.0,46.0,20.0,28.0,,54.0,
B,C,69.0,,37.0,29.0,,46.0,47.0,30.0,34.0,47.0
,－,47.0,59.0,56.0,50.0,,22.0,65.0,61.0,45.0,
B,D,40.0,56.0,26.0,54.0,36.0,33.0,55.0,51.0,50.0,
A,－,63.0,59.0,,,66.0,23.0,62.0,22.0,,
B,D,49.0,74.0,,29.0,38.0,,35.0,,17.0,
A,B,27.0,59.0,59.0,55.0,52.0,,,60.0,29.0,64.0
A,D,52.0,60.0,22.0,36.0,31.0,25.0,39.0,41.0,,50.0
A,A,74.0,57.0,57.0,28.0,51.0,,68.0,,29.0,43.0
B,－,70.0,37.0,,,44.0,53.0,46.0,31.0,,37.0
C,C,86.0,31.0,36.0,,30.0,39.0,36.0,34.0,39.0,48.0
A,D,56.0,51.0,52.0,49.0,54.0,26.0,33.0,26.0,49.0,
,－,27.0,55.0,46.0,47.0,46.0,,55.0,41.0,15.0,64.0
,－,37.0,50.0,,,29.0,38.0,61.0,65.0,,
C,D,,95.0,39.0,32.0,36.0,48.0,60.0,57.0,43.0,53.0
B,A,75.0,44.0,,72.0,29.0,59.0,62.0,24.0,35.0,58.0
A,D,27.0,84.0,,34.0,53.0,30.0,62.0,21.0,,47.0
A,－,48.0,47.0,28.0,,41.0,65.0,47.0,43.0,36.0,
C,－,27.0,46.0,60.0,42.0,26.0,44.0,14.0,16.0,62.0,50.0
B,－,77.0,70.0,49.0,39.0,30.0,,,56.0,26.0,
A,C,,58.0,30.0,,35.0,49.0,42.0,17.0,30.0,58.0
B,D,56.0,,56.0,48.0,61.0,38.0,,,45.0,61.0
B,S,45.0,80.0,,33.0,,53.0,51.0,42.0,28.0,63.0
A,B,48.0,91.0,53.0,24.0,39.0,19.0,56.0,69.0,49.0,59.0
B,－,47.0,44.0,66.0,45.0,45.0,61.0,55.0,28.0,17.0,29.0
A,A,28.0,61.0,39.0,,33.0,49.0,49.0,22.0,14.0,50.0
A,B,33.0,54.0,,59.0,32.0,44.0,,,42.0,62.0
,A,41.0,76.0,46.0,42.0,,53.0,45.0,,64.0,
B,－,52.0,54.0,43.0,54.0,39.0,20.0,63.0,62.0,,42.0
B,B,85.0,50.0,,29.0,11.0,15.0,40.0,39.0,23.0,49.0
C,D,50.0,,,32.0,45.0,29.0,39.0,69.0,60.0,
,C,62.0,61.0,55.0,31.0,30.0,28.0,32.0,39.0,42.0,58.0
,S,73.0,70.0,57.0,51.0,52.0,38.0,43.0,,32.0,50.0
,D,46.0,34.0,,31.0,,37.0,49.0,71.0,,60.0
A,B,,52.0,22.0,42.0,39.0,38.0,25.0,,16.0,59.0
,D,53.0,64.0,25.0,47.0,34.0,27.0,,,25.0,56.0
B,A,,89.0,,46.0,33.0,42.0,64.0,36.0,25.0,58.0
B,S,49.0,,53.0,47.0,58.0,51.0,15.0,,31.0,
B,C,40.0,38.0,49.0,41.0,50.0,56.0,,42.0,,55.0
A,－,41.0,,49.0,,29.0,,20.0,34.0,44.0,52.0
A,D,39.0,82.0,54.0,49.0,32.0,48.0,27.0,,17.0,55.0
A,C,,38.0,24.0,46.0,,56.0,74.0,71.0,,57.0
C,S,43.0,,40.0,45.0,57.0,66.0,55.0,35.0,,37.0
B,B,40.0,45.0,51.0,36.0,40.0,47.0,39.0,53.0,20.0,79.0
,A,,,,36.0,32.0,25.0,,74.0,28.0,55.0
,C,45.0,68.0,45.0,29.0,57.0,34.0,18.0,,10.0,75.0
B,C,,66.0,34.0,42.0,29.0,,73.0,64.0,13.0,44.0
B,D,49.0,62.0,37.0,42.0,29.0,,,52.0,14.0,
A,S,53.0,47.0,56.0,54.0,,53.0,,31.0,21.0,47.0
,B,,33.0,,53.0,28.0,,71.0,60.0,13.0,75.0
A,C,41.0,56.0,35.0,,,35.0,34.0,69.0,46.0,
A,B,41.0,32.0,46.0,47.0,37.0,41.0,70.0,66.0,63.0,42.0
B,B,73.0,,60.0,53.0,,52.0,37.0,63.0,,65.0
A,B,,59.0,,47.0,,36.0,56.0,,63.0,37.0
A,C,33.0,76.0,,54.0,37.0,52.0,34.0,43.0,13.0,58.0
A,－,58.0,69.0,,44.0,45.0,50.0,31.0,51.0,,56.0
,C,63.0,,34.0,47.0,43.0,,,34.0,13.0,39.0
A,－,72.0,85.0,26.0,42.0,27.0,23.0,39.0,56.0,32.0,53.0
C,D,53.0,58.0,42.0,48.0,,47.0,69.0,22.0,21.0,50.0
B,－,39.0,61.0,65.0,50.0,32.0,,74.0,68.0,,54.0
B,C,44.0,,40.0,46.0,17.0,,62.0,60.0,61.0,48.0
A,D,,48.0,37.0,47.0,36.0,27.0,48.0,20.0,,36.0
B,D,58.0,76.0,65.0,28.0,28.0,52.0,43.0,20.0,,48.0
B,S,50.0,70.0,24.0,43.0,40.0,,56.0,37.0,,55.0
B,D,38.0,43.0,36.0,43.0,30.0,,21.0,19.0,16.0,68.0
B,B,47.0,39.0,40.0,,,44.0,,42.0,46.0,58.0
B,－,45.0,39.0,35.0,50.0,24.0,18.0,58.0,66.0,,45.0
B,S,67.0,85.0,56.0,41.0,53.0,45.0,51.0,,31.0,51.0
B,－,67.0,67.0,,45.0,49.0,70.0,38.0,45.0,35.0,35.0
,S,56.0,,68.0,46.0,26.0,21.0,57.0,35.0,43.0,59.0
B,D,35.0,35.0,51.0,,38.0,55.0,,,20.0,64.0
A,－,,53.0,44.0,31.0,40.0,19.0,,20.0,42.0,41.0
A,S,60.0,,24.0,55.0,37.0,,,33.0,28.0,52.0
A,－,39.0,49.0,,26.0,65.0,52.0,,63.0,18.0,45.0
A,S,67.0,,56.0,45.0,46.0,47.0,64.0,49.0,40.0,45.0
A,－,27.0,,,39.0,,,,25.0,10.0,79.0
B,A,75.0,47.0,,46.0,31.0,24.0,57.0,64.0,,
,－,44.0,41.0,,46.0,38.0,39.0,66.0,54.0,32.0,63.0
B,D,89.0,,54.0,41.0,39.0,,34.0,,,65.0
A,A,27.0,43.0,57.0,43.0,45.0,63.0,61.0,74.0,41.0,64.0
B,－,,32.0,37.0,39.0,35.0,46.0,57.0,42.0,44.0,45.0
B,－,42.0,94.0,29.0,50.0,29.0,60.0,43.0,51.0,15.0,51.0
B,D,32.0,,67.0,43.0,31.0,41.0,41.0,66.0,,42.0
B,B,39.0,55.0,53.0,57.0,,43.0,64.0,,32.0,70.0
,D,35.0,54.0,28.0,52.0,14.0,17.0,59.0,56.0,30.0,52.0
B,B,89.0,68.0,48.0,24.0,29.0,28.0,54.0,13.0,29.0,48.0
B,B,27.0,,44.0,30.0,32.0,50.0,59.0,57.0,28.0,52.0
C,S,53.0,61.0,46.0,47.0,31.0,,24.0,,36.0,
A,B,42.0,47.0,55.0,53.0,33.0,,37.0,30.0,,63.0
A,D,50.0,65.0,43.0,31.0,13.0,48.0,21.0,46.0,47.0,47.0
,B,42.0,80.0,55.0,45.0,40.0,,44.0,14.0,,68.0
B,S,34.0,36.0,32.0,,49.0,38.0,,37.0,19.0,
C,D,39.0,66.0,,49.0,,29.0,41.0,52.0,39.0,
,C,,27.0,,62.0,34.0,21.0,,58.0,22.0,42.0
B,－,,33.0,40.0,50.0,,,73.0,67.0,31.0,51.0
B,A,41.0,,55.0,28.0,15.0,40.0,,50.0,,56.0
B,B,78.0,56.0,,40.0,38.0,17.0,63.0,31.0,27.0,56.0
B,B,41.0,40.0,24.0,48.0,34.0,47.0,,44.0,36.0,48.0
C,B,36.0,38.0,33.0,42.0,50.0,66.0,65.0,39.0,26.0,
B,B,89.0,31.0,57.0,,40.0,,61.0,59.0,33.0,
,－,54.0,44.0,,43.0,35.0,47.0,17.0,7.0,,
A,C,27.0,76.0,45.0,45.0,51.0,19.0,30.0,52.0,29.0,
B,A,,49.0,24.0,46.0,,31.0,62.0,36.0,,
B,C,48.0,81.0,55.0,31.0,62.0,70.0,57.0,59.0,,44.0
B,S,57.0,,57.0,,11.0,,55.0,55.0,44.0,40.0
B,S,,56.0,22.0,39.0,33.0,,48.0,25.0,51.0,63.0
C,C,62.0,,,31.0,24.0,26.0,,,39.0,29.0
B,A,48.0,38.0,36.0,50.0,39.0,38.0,,,12.0,
B,－,58.0,38.0,43.0,46.0,30.0,62.0,35.0,,21.0,56.0
A,S,38.0,,43.0,43.0,41.0,48.0,36.0,72.0,36.0,57.0
A,C,52.0,46.0,,,38.0,56.0,72.0,63.0,52.0,
B,S,49.0,,69.0,26.0,73.0,17.0,61.0,49.0,65.0,
B,－,,47.0,,41.0,57.0,28.0,,74.0,40.0,54.0
B,－,62.0,63.0,46.0,,,38.0,74.0,48.0,33.0,66.0
,A,,,50.0,40.0,,20.0,53.0,35.0,40.0,
B,D,52.0,53.0,51.0,49.0,51.0,50.0,56.0,43.0,38.0,61.0
A,D,48.0,53.0,50.0,47.0,26.0,56.0,71.0,,60.0,50.0
A,S,,44.0,48.0,50.0,56.0,,,49.0,10.0,63.0
B,－,49.0,,,36.0,32.0,,62.0,42.0,48.0,69.0
A,－,62.0,56.0,40.0,,60.0,54.0,67.0,63.0,,54.0
B,－,,58.0,71.0,61.0,30.0,63.0,,19.0,,30.0
A,A,58.0,36.0,50.0,72.0,24.0,37.0,66.0,49.0,29.0,45.0
B,－,,68.0,70.0,44.0,53.0,40.0,58.0,,29.0,61.0
B,B,27.0,58.0,54.0,,44.0,,43.0,,10.0,50.0
B,A,32.0,71.0,,39.0,,14.0,50.0,,,58.0
